A Sociological View of Efforts to Obstruct Climate Action,https://www.asanet.org/footnotes-article/sociological-view-effort-obstruct-action-climate-change/
A Sociological View of Efforts to Obstruct Climate Action,https://www.asanet.org/footnotes-article/sociological-view-effort-obstruct-action-climate-change/
Assessing ExxonMobil’s global warming projections,https://www.science.org/doi/10.1126/science.abk0063
Assessing ExxonMobil’s global warming projections,https://www.science.org/doi/10.1126/science.abk0063
Avoiding a Climate Lockdown,https://www.project-syndicate.org/commentary/radical-green-overhaul-to-avoid-climate-lockdown-by-mariana-mazzucato-2020-09?barrier=accesspaylog
Avoiding a Climate Lockdown,https://www.project-syndicate.org/commentary/radical-green-overhaul-to-avoid-climate-lockdown-by-mariana-mazzucato-2020-09?barrier=accesspaylog
Avoiding cultural trauma: climate change and social inertia,https://www.tandfonline.com/doi/full/10.1080/09644016.2018.1562138
Avoiding cultural trauma: climate change and social inertia,https://www.tandfonline.com/doi/full/10.1080/09644016.2018.1562138
Big Oil Goes to College,https://www.americanprogress.org/article/big-oil-goes-to-college/
Big Oil Goes to College,https://www.americanprogress.org/article/big-oil-goes-to-college/
Challenging Climate Change: The Denial Countermovement,https://www.researchgate.net/publication/291353557_Challenging_Climate_Change_The_Denial_Countermovement#fullTextFileContent
Challenging Climate Change: The Denial Countermovement,https://www.researchgate.net/publication/291353557_Challenging_Climate_Change_The_Denial_Countermovement#fullTextFileContent
Climate Obstruction in Europe,https://cssn.org/news-research/europe-volume/
Climate Obstruction in Europe,https://cssn.org/news-research/europe-volume/
Coolglass Windfarm Limited v. An Bord Pleanala [2025] IEHC 1,https://climatecasechart.com/non-us-case/coolglass-windfarm-limited-v-an-bord-pleanala-2025-iehc-1/
Coolglass Windfarm Limited v. An Bord Pleanala [2025] IEHC 1,https://climatecasechart.com/non-us-case/coolglass-windfarm-limited-v-an-bord-pleanala-2025-iehc-1/
"Corporate promotion and climate change: an analysis of key variables affecting advertising spending by major oil corporations, 1986–2015",https://link.springer.com/article/10.1007/s10584-019-02582-8
"Corporate promotion and climate change: an analysis of key variables affecting advertising spending by major oil corporations, 1986–2015",https://link.springer.com/article/10.1007/s10584-019-02582-8
Discourses of climate delay,https://www.cambridge.org/core/journals/global-sustainability/article/discourses-of-climate-delay/7B11B722E3E3454BB6212378E32985A7
Discourses of climate delay,https://www.cambridge.org/core/journals/global-sustainability/article/discourses-of-climate-delay/7B11B722E3E3454BB6212378E32985A7
